"","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9"
"A1BG",2.09524082247759,-0.562005839815863,2.33208605153883,2.76067125621565,2.56975457883173,0.932502190594115,1.33765101695371,1.74219654803679,1.18175969594713,0.655806725223163,1.02316318140922,2.76089026571662,2.92767912435461,-0.331575288728888,2.15197688638041,1.27508132276606,1.70728668636866,1.05723019562651
"A1BG-AS1",0.693140080572285,-1.77635820507462,0.390639331770205,0.495252641066928,-0.674076770411295,-0.905344934710709,-1.46802411004783,-1.67424063112479,-2.63474898957051,-1.25496151524977,-0.254576976644368,0.737868315347612,1.49784391430537,-1.15440850144814,-0.0432274776263281,-0.444597554918687,0.0315319697916012,-0.940723645757887
"A2LD1",3.01964386544475,2.22833841314021,3.04977680670949,2.9191456651812,4.72963662973564,2.72651447393081,2.97856626658115,1.74219654803679,1.55463158049103,1.07930718623013,2.73770104892188,3.49953190220141,2.51386774628389,2.26608253425323,2.77462825348966,3.32737699347735,2.1200476441583,1.61009127484202
"A2M",8.13096937333091,5.55717670123966,7.84022200761783,7.9099188704809,6.68696190244857,5.67536539430447,4.25797339823162,6.47884347156319,6.32576983657209,7.07955083874103,6.66029208281009,5.35784789082042,7.6946140196983,5.41828951808438,6.46524253409423,7.03947311745585,5.76186858455269,7.19568913819678
"A2ML1",6.80349238341235,7.41885698215326,4.68251124955171,5.78432453404532,3.61091909134637,7.6465988959183,8.45532512606663,10.0823285141144,9.19298840286615,8.96331210271323,6.71394473199031,7.31897956019352,4.86082809513959,7.71208799435868,8.53969491347137,5.79725447203198,8.25870668391149,1.9238460590815
"A4GALT",5.51915094588965,6.2881901698512,6.09990075776712,4.96857280541331,3.60453900542257,6.08279760200084,5.93019542245149,5.2750093614749,6.84763847807242,4.62294095849363,6.34401566513491,5.79619086211738,5.96503033414887,6.35470530715856,6.8746191701348,5.81550238442503,5.20617132079569,1.75922498808379
"AAAS",5.76531011448154,5.1189531126888,5.48133462734132,5.21987156241039,5.4743499364445,5.00681441937556,5.28825727150329,4.46434412441463,4.05191906160012,4.12841527887314,5.50317568514021,6.33798769054186,5.75299525869947,5.82441208409928,5.46690724361265,6.01516773656885,5.49595854507524,4.95914125586852
"AACS",5.76886397124817,6.21522183462769,5.20990463031794,6.66906976686986,5.06549541498003,5.59491114770037,5.13613278540339,5.91993448134447,5.76698570690799,5.42563272059538,5.48181764667251,7.58090578654534,6.3527883385653,6.16893821015815,5.43829672195946,6.09914122759095,5.6535200338969,4.03578984064344
"AACSP1",3.9852027078299,-4.04322659709208,0.839814384215255,2.05783048767478,3.49497765026721,-1.17214132150899,0.267569797943201,-4.04322659709209,-1.33941053408604,-1.25496151524977,-1.97115044970197,2.79469644949362,3.92583798646514,0.189143000261928,-4.04322659709208,-2.12539243097133,-2.82853413484381,4.45454986707311
"AADAC",-1.86094642893089,-2.85994695097828,0.530057659765324,-0.146043613934961,-2.56935491619851,1.12367405428506,-1.05347634898859,0.768119295561985,-1.93582733788426,-0.952499418378303,-0.765382984596931,-1.16375828605407,-2.14788559906924,-3.26767178057907,1.36924610474578,-3.40565273895157,-4.04322659709209,-4.04322659709209
