"symbol","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9"
"A1BG",157,8,187,239,218,82,82,104,66,93,71,209,183,17,106,70,80,79
"A1BG-AS1",58,3,47,48,21,21,10,8,3,22,28,50,67,9,22,20,24,18
"A1CF",1,0,1,7,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"A2M",10446,610,8612,8556,3820,2265,634,2822,2396,8300,3640,1274,5021,989,2135,3901,1353,5730
"A2ML1",4161,2219,963,1959,451,8889,11666,34323,17494,30640,3778,4966,703,4855,8997,1648,7644,146
"A2MP1",1,0,3,1,2,2,0,0,0,7,1,0,0,0,7,1,0,11
"A4GALT",1707,1013,2576,1112,449,3005,2025,1224,3441,1509,2923,1727,1513,1894,2836,1669,920,130
"A4GNT",1,0,1,0,0,0,0,0,0,2,5,1,4,2,0,2,4,6
"AAAS",2025,450,1677,1324,1647,1424,1297,697,494,1070,1631,2515,1306,1311,1068,1917,1125,1214
"AACS",2030,963,1389,3619,1240,2142,1167,1915,1626,2635,1607,5955,1980,1665,1047,2032,1255,639
"AACSP1",588,0,65,146,416,17,38,0,10,22,7,214,367,25,0,5,2,855
"AADAC",8,1,52,30,4,94,14,52,6,28,19,12,4,1,61,1,0,0
"AADACL2",1,0,42,10,2,29,5,3,4,25,0,0,1,0,3,0,1,1
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL4",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AADAT",62,72,136,16,34,292,232,184,57,171,38,3,27,183,46,139,85,480
"AAGAB",2331,1010,2167,1738,1941,3737,1911,2359,2669,4696,3038,972,762,2106,1522,997,2072,1235
"AAK1",2005,633,2278,2361,1740,2532,870,1436,978,4031,2010,2243,1756,937,871,1355,1296,1748
"AAMDC",336,152,371,354,198,294,328,125,195,270,245,314,168,216,174,168,71,244
"AAMP",4560,978,3387,2892,2121,3518,4110,2762,4490,8079,3936,3710,3148,3471,3240,1983,3673,4186
"AANAT",4,1,2,8,12,9,4,7,1,3,25,6,6,34,15,3,32,2
"AAR2",1398,506,1623,1325,1849,1806,1039,938,1786,2086,2334,1878,1149,987,967,1651,1068,1489
"AARD",6,0,14,3,12,2,0,1,2,1,0,6,1,0,6,91,0,0
"AARS1",3323,2950,2185,3780,3479,7040,3665,4647,2842,8969,4938,2010,2255,3135,2427,3374,1910,8012
"AARS2",1614,396,1496,1264,935,736,1069,776,652,1512,1482,1388,746,1116,1221,1143,1312,1716
"AARSD1",1122,314,957,559,835,939,970,629,401,913,693,608,608,866,628,569,821,1572
"AASDH",445,181,407,490,507,517,336,266,447,967,392,386,282,231,276,408,250,586
"AASDHPPT",1693,338,1442,1300,1328,1622,1040,1199,1185,2661,659,680,708,355,1077,1363,1002,4058
"AASS",1357,1158,1099,938,1324,349,1629,1169,303,1537,2156,174,1026,411,836,908,420,981
"AATF",1859,689,2003,1366,1760,4062,1585,1488,1497,3956,1992,1732,1366,1321,1134,1567,1032,2862
"AATK",115,12,107,99,48,42,48,38,13,56,86,38,107,37,100,84,126,63
"ABAT",164,307,625,293,616,1576,713,417,607,293,870,69,183,164,281,316,103,816
"ABCA1",1830,576,2654,2901,1586,617,1303,2299,532,7907,1757,794,940,468,1002,1270,712,445
"ABCA10",143,19,86,326,30,239,65,67,19,125,36,65,123,16,68,128,23,62
"ABCA11P",218,53,220,251,387,276,198,120,190,353,205,139,216,81,186,113,261,356
"ABCA12",295,151,105,248,35,916,593,377,1110,2152,208,201,63,305,366,19,453,67
"ABCA13",2187,1209,3045,5754,74,3477,1227,6368,182,5733,6425,4923,3642,2340,2139,147,866,234
"ABCA17P",583,67,139,302,402,167,42,92,216,87,152,876,550,120,112,1063,89,142
