"","x"
"1","ITLN1"
"2","LCAT"
"3","CNIH"
"4","HCG4"
"5","NUDT13"
"6","NEDD4"
"7","HAS2-AS1"
"8","RASIP1"
"9","TUG1"
"10","C2orf55"
"11","ACTR5"
"12","SGSH"
"13","CCND2"
"14","FCHO2"
"15","QRICH1"
"16","FBXW7"
"17","OR7E5P"
"18","COL7A1"
"19","ZNF343"
"20","CALCR"
"21","TMEM132A"
"22","ABCD4"
"23","THG1L"
"24","C16orf72"
"25","KCNN4"
"26","GOLGA1"
"27","AKD1"
"28","MRS2P2"
"29","KIAA1383"
"30","PSMB5"
"31","RNF123"
"32","FGFBP3"
"33","IDH3B"
"34","UCKL1"
"35","PCSK1"
"36","EDN2"
"37","FZD6"
"38","MEGF6"
"39","BANP"
"40","ODZ1"
"41","PRICKLE1"
"42","TMOD4"
"43","UTP23"
"44","1/2-SBSRNA4"
"45","GAMT"
"46","DAP3"
"47","NNAT"
"48","POT1"
"49","ZNF84"
"50","SCAF1"
"51","SAMD3"
"52","PWP2"
"53","GRK6"
"54","PDE9A"
"55","SLC22A18"
"56","USP4"
"57","FASTKD3"
"58","ZNF543"
"59","PPP6R3"
"60","HRC"
"61","RNF122"
"62","SEPT2"
"63","NAPEPLD"
"64","CYP4F12"
"65","PRSS36"
"66","RAB3IP"
"67","SLN"
"68","LOC100128640"
"69","GSTM2"
"70","GPR113"
"71","RABL3"
"72","PPP1R1C"
"73","TEAD4"
"74","PRR5"
"75","NYNRIN"
"76","TMSB4Y"
"77","MIR31HG"
"78","DNAJC8"
"79","CDK5RAP3"
"80","SAA1"
"81","ZMPSTE24"
"82","TSN"
"83","VDAC3"
"84","CDK5RAP1"
"85","UCK2"
"86","GEMIN8"
"87","PHF11"
"88","EIF2AK3"
"89","PHKA1"
"90","SLC4A2"
"91","XPO7"
"92","MAP4K2"
"93","ANKRD34B"
"94","DHRS4L2"
"95","NAA11"
"96","AGXT2L2"
"97","ABCB6"
"98","PLEC"
"99","RTN3"
"100","SLC25A14"
"101","MMP10"
"102","MLST8"
"103","MTMR9LP"
"104","HSF5"
"105","ITGA3"
"106","INHBA"
"107","KIF4A"
"108","MFAP3"
"109","GALM"
"110","ENPP5"
"111","COL6A4P2"
"112","PTCHD4"
"113","IVNS1ABP"
"114","MEF2B"
"115","DYM"
"116","TMEM182"
"117","NANOS3"
"118","DFFA"
"119","LPCAT3"
"120","ARHGAP12"
"121","IL17RB"
"122","SUB1"
"123","HIGD2A"
"124","EPHA4"
"125","SFR1"
"126","ZNF564"
"127","DDX54"
"128","C5orf30"
"129","PPFIA1"
"130","ZNF443"
"131","PARP15"
"132","C19orf77"
"133","TBPL1"
"134","RAD1"
"135","BEAN1"
"136","ZNF8"
"137","KIAA0319L"
"138","SNX3"
"139","PHF7"
"140","IYD"
"141","CXXC11"
"142","LOC100302650"
"143","AP1B1"
"144","RPL12"
"145","SLC6A17"
"146","ALPL"
"147","RPL3L"
"148","TMEM65"
"149","SIGLEC8"
"150","VCP"
"151","NCBP1"
"152","SERPINA9"
"153","DEPDC7"
"154","WDR85"
"155","PPP1R10"
"156","ANO1"
"157","RHOT2"
"158","MORF4L2"
"159","IFIT2"
"160","TFF1"
"161","SCGB1B2P"
"162","FAM131B"
"163","COMMD8"
"164","SLC22A1"
"165","LTN1"
"166","PTPRVP"
"167","CUTC"
"168","RARG"
"169","NODAL"
"170","MUDENG"
"171","RPL30"
"172","PURB"
"173","LOC100130855"
"174","ECEL1P2"
"175","SCAMP5"
"176","RAB33B"
"177","LOC100652846"
"178","CCDC134"
"179","MPO"
"180","DERL2"
"181","SBNO1"
"182","SRMS"
"183","MLF1IP"
"184","TMEM33"
"185","AVPR2"
"186","ASF1A"
"187","HOXB2"
"188","DCUN1D5"
"189","FLJ39639"
"190","TTC8"
"191","LMTK2"
"192","NENF"
"193","NEK3"
"194","SNRNP40"
"195","PEG3"
"196","ZNF609"
"197","SCAPER"
"198","B3GNT2"
"199","RHBDD1"
"200","ERLIN1"
"201","MTMR14"
"202","KDM4B"
"203","MSRA"
"204","NPR3"
"205","PRPF38B"
"206","FAM214B"
"207","SMO"
"208","PRIM2"
"209","NUMBL"
"210","GNB3"
"211","MYL12A"
"212","PRMT7"
"213","AMY2B"
"214","PPP1R27"
"215","RNF10"
"216","NAA16"
"217","ANKMY2"
"218","TNFRSF13C"
"219","LRRC37A4"
"220","FSCN2"
"221","HECW2"
"222","MGC3771"
"223","NSRP1"
