"","all_genes_used"
"1","AMMECR1"
"2","CRTAM"
"3","EFNB2"
"4","TGM2"
"5","ACCS"
"6","ARID4B"
"7","EXD1"
"8","RNF11"
"9","SNRPB"
"10","ATP6V1E2"
"11","SLC25A37"
"12","STARD3NL"
"13","LOC100130357"
"14","PHF10"
"15","ADO"
"16","ZHX1"
"17","ITIH4"
"18","LOC643837"
"19","LOC100506100"
"20","SLC19A2"
"21","SIDT2"
"22","FAM83B"
"23","CD37"
"24","C3orf23"
"25","PALM2"
"26","NCRNA00185"
"27","WRN"
"28","LOC283888"
"29","GPRASP1"
"30","B3GAT1"
"31","C3orf39"
"32","MXRA8"
"33","NFATC1"
"34","PRTG"
"35","LARP4B"
"36","EPHB6"
"37","ORMDL3"
"38","TDRD1"
"39","GLO1"
"40","USP6"
"41","TSPAN17"
"42","PLA2G6"
"43","GPR155"
"44","C1orf35"
"45","AIM2"
"46","LOXL1"
"47","NOVA2"
"48","ADCY9"
"49","TMTC4"
"50","UBL4B"
"51","KANSL1-AS1"
"52","HEY1"
"53","KCNK4"
"54","MFI2"
"55","TERC"
"56","KCNE2"
"57","ZNF736"
"58","SYT8"
"59","KLHDC8A"
"60","BAI1"
"61","MRP63"
"62","CYC1"
"63","CDK2AP2"
"64","KIAA1731"
"65","CAPRIN1"
"66","C3orf58"
"67","PSENEN"
"68","SMARCAD1"
"69","VWC2"
"70","CMYA5"
"71","CCDC136"
"72","SPTSSA"
"73","LHX8"
"74","FAM153B"
"75","TRIT1"
"76","ANKRD55"
"77","PABPC5"
"78","AGPAT2"
"79","C1orf115"
"80","CRNKL1"
"81","BBS12"
"82","MIR210HG"
"83","IRF8"
"84","SLC6A2"
"85","LRP5L"
"86","RIC3"
"87","HSD3BP4"
"88","SIK3"
"89","JMJD1C"
"90","HIPK3"
"91","NEFL"
"92","IL36A"
"93","OR6C70"
"94","PTPRCAP"
"95","GRAP"
"96","MATN4"
"97","NEURL4"
"98","IL1RL2"
"99","PHLDA3"
"100","ZCCHC3"
"101","ARHGAP19"
"102","LOC641364"
"103","PRICKLE4"
"104","SALL2"
"105","LCE3C"
"106","GM2A"
"107","NDUFS7"
"108","ACTG2"
"109","CLIC3"
"110","PRG1"
"111","BICC1"
"112","HNRNPA1L2"
"113","LOC100507392"
"114","TMEM108"
"115","GATAD2A"
"116","FILIP1"
"117","FSIP2"
"118","EIF2S1"
"119","CES4A"
"120","CCND1"
"121","C14orf142"
"122","ZNF423"
"123","IL15"
"124","MBD5"
"125","PPM1F"
"126","IL1RN"
"127","RSAD1"
"128","C7orf58"
"129","PKD1L1"
"130","PIK3R6"
"131","KCNAB3"
"132","TBC1D22B"
"133","PCDHGA12"
"134","MFAP4"
"135","TBC1D1"
"136","HAPLN3"
"137","PLSCR1"
"138","SPINK2"
"139","CD48"
"140","CACNA1G"
"141","LSM1"
"142","CHCHD10"
"143","DLG2"
"144","ZNF148"
"145","SCN11A"
"146","GEMIN7"
"147","PHRF1"
"148","KCNMA1"
"149","MAP1A"
"150","TUSC2"
"151","PDRG1"
"152","TUBGCP6"
"153","ZMYND11"
"154","UBE2D2"
"155","CALCB"
"156","BCOR"
"157","PFN2"
"158","FAT2"
"159","GFM2"
"160","POM121L9P"
"161","VPS35"
"162","ZNF280B"
"163","GYS1"
"164","ZNF469"
"165","EHD4"
"166","C12orf56"
"167","TEX264"
"168","LOC653061"
"169","C10orf47"
"170","CTNND1"
"171","TMEM156"
"172","EIF2A"
"173","MAN1A1"
"174","ENHO"
"175","NEURL"
"176","C11orf9"
"177","ACOT7"
"178","LINC00299"
"179","CTSB"
"180","LOC100506023"
"181","RBMXL1"
"182","BTNL8"
"183","METTL21D"
"184","NFXL1"
"185","CCDC146"
"186","TBC1D5"
"187","LOC100506343"
"188","TIMP3"
"189","CORO2B"
"190","PEAK1"
"191","TTLL3"
"192","GBP2"
"193","GNPNAT1"
"194","FAP"
"195","OBSCN"
"196","DNTTIP2"
"197","CYP4V2"
"198","LAX1"
