"symbol","X2536.KZ.1.FS.count","X2536.KZ.10.FS.count","X2536.KZ.14.FS.count","X2536.KZ.16.FS.count","X2536.KZ.17.FS.count","X2536.KZ.18.FS.count","X2536.KZ.23.FS.count","X2536.KZ.25.FS.count","X2536.KZ.28.FS.count","X2536.KZ.33.FS.count","X2536.KZ.34.FS.count","X2536.KZ.4.FS.count","X2536.KZ.7.FS.count"
"A1BG",1,4,2,3,3,6,1,1,1,3,1,1,4
"A1BG-AS1",19,9,24,37,11,13,9,26,16,7,12,8,28
"A1CF",0,0,0,2,5,24,0,1,1,3,1,0,1
"A2M",197,379,161,172,134,139,95,164,123,231,174,86,101
"A2M-AS1",23,12,49,4,5,17,19,4,22,12,25,8,10
"A2ML1",507,239,194,46,629,161,27,42,129,244,857,151,49
"A4GALT",61,66,63,53,70,109,45,48,79,79,48,186,43
"AAAS",70,66,101,68,69,106,88,60,76,80,64,117,98
"AACS",113,102,101,151,231,568,187,151,330,140,166,92,96
"AACSP1",1,0,45,6,25,106,61,4,0,7,8,85,119
"AADAC",0,0,2,18,2,2,2,17,1,0,0,1,0
"AADACL2",0,0,7,2,6,14,0,0,1,1,2,0,1
"AADACP1",0,0,2,38,16,7,11,42,3,1,2,1,2
"AADAT",5,17,3,9,14,2,14,7,8,9,7,8,5
"AAGAB",91,87,53,55,106,37,82,64,106,109,66,76,61
"AAK1",787,968,1075,825,323,679,780,879,694,588,643,526,607
"AAMDC",1,1,2,9,2,2,0,8,3,3,1,1,1
"AAMP",41,48,37,56,41,55,22,48,36,38,66,42,28
"AAR2",47,40,41,45,39,39,24,51,39,36,42,48,42
"AARS1",151,198,152,218,309,128,154,214,395,216,233,315,146
"AARS2",58,39,50,38,36,49,36,34,43,62,44,79,76
"AARSD1",13,9,8,15,17,15,13,14,8,19,12,22,13
"AASDH",53,52,55,56,39,54,64,49,31,50,42,39,36
"AASDHPPT",67,37,91,165,38,45,76,195,41,58,52,75,39
"AASS",53,50,46,51,184,49,77,47,42,92,99,219,117
"AATBC",64,20,30,55,57,191,47,46,41,55,47,51,62
"AATF",33,42,41,75,53,50,43,70,59,48,53,87,40
"AATK",12,14,7,20,9,31,1,12,9,11,9,13,9
"ABAT",27,82,46,27,65,44,36,19,43,55,25,17,50
"ABCA1",311,510,216,456,512,134,240,477,230,232,366,534,176
"ABCA10",23,4,25,17,6,14,11,9,24,12,19,8,11
"ABCA11P",10,10,8,6,5,6,10,4,4,6,4,4,14
"ABCA12",103,36,81,56,88,16,15,56,20,89,157,22,10
"ABCA13",478,13,1917,6,2542,960,66,1,1318,2127,968,1152,94
"ABCA17P",8,23,26,18,19,215,205,15,48,20,4,1,194
"ABCA2",492,537,203,242,109,363,116,204,136,261,72,119,104
"ABCA3",79,60,132,33,11,929,421,33,65,110,15,104,469
"ABCA4",3,0,6,2,3,6,0,1,2,2,3,3,1
"ABCA5",245,122,323,276,270,286,330,308,513,382,248,348,224
"ABCA6",100,45,71,60,28,35,50,47,44,58,18,19,16
"ABCA7",260,97,206,90,49,193,85,83,86,76,114,56,89
"ABCA8",37,2,30,11,11,17,12,11,15,32,2,5,1
"ABCA9",55,18,41,22,8,11,25,18,32,49,11,8,3
"ABCA9-AS1",0,0,0,7,1,3,0,3,0,0,0,1,0
"ABCB1",6,17,18,2,5,10,6,2,6,8,10,2,4
"ABCB10",52,29,29,65,39,48,60,56,28,35,62,27,28
"ABCB11",2,0,3,1,6,14,0,2,0,1,0,1,0
"ABCB4",2,1,16,8,5,14,3,3,8,5,9,3,3
"ABCB5",2,0,0,2,5,14,0,1,0,1,1,0,0
"ABCB6",21,13,10,37,27,42,33,30,22,8,16,32,24
"ABCB7",32,45,65,46,46,49,44,54,43,41,39,36,75
"ABCB8",167,74,82,156,78,170,94,154,76,142,99,133,122
"ABCB9",29,30,28,33,39,116,40,27,25,26,22,106,59
"ABCC1",337,225,356,126,532,776,425,107,1126,122,158,922,969
"ABCC10",113,95,138,100,85,167,104,97,86,104,72,154,94
"ABCC11",3,2,0,8,7,12,1,6,1,4,3,5,1
"ABCC12",0,0,0,2,2,9,0,0,1,0,0,2,0
"ABCC13",1,0,0,5,7,27,0,1,0,2,0,1,2
"ABCC2",6,2,11,7,4,15,5,6,13,2,5,3,9
"ABCC3",55,82,101,139,30,75,309,150,418,53,27,40,15
"ABCC4",60,49,137,76,40,236,204,75,72,35,23,111,316
"ABCC5",560,596,593,348,2190,555,317,350,2220,1402,539,1037,234
"ABCC6",4,1,5,2,5,11,0,0,1,2,0,1,1
"ABCC8",0,1,0,4,7,22,0,0,1,0,0,1,0
"ABCC9",54,14,26,64,17,25,41,70,17,29,13,18,17
"ABCD1",66,111,26,24,21,31,18,22,34,50,19,27,27
"ABCD2",12,16,25,2,4,17,10,2,10,15,9,2,7
"ABCD3",111,123,156,59,142,119,94,61,103,41,136,114,121
"ABCD4",85,100,107,81,80,114,128,65,76,116,89,99,79
"ABCE1",192,346,153,329,302,148,226,356,214,257,377,229,336
"ABCF1",73,79,63,121,99,44,56,114,103,86,124,151,96
"ABCF2",25,28,20,49,38,32,30,52,30,33,32,45,32
"ABCF3",65,112,72,93,192,82,71,87,130,99,89,83,59
"ABCG1",39,71,47,46,41,65,57,47,27,34,27,54,54
"ABCG2",4,3,9,7,7,8,5,4,8,2,3,1,3
"ABCG4",0,1,3,6,2,7,1,2,1,0,0,3,0
"ABCG8",1,0,1,4,6,23,0,1,1,4,1,2,0
"ABHD1",2,1,3,2,4,14,3,0,2,3,1,1,1
"ABHD10",31,26,50,42,31,50,41,45,56,69,38,43,37
"ABHD11",61,40,40,17,46,58,27,16,38,35,61,45,21
"ABHD12",62,117,107,74,66,73,87,69,42,61,79,54,50
"ABHD12B",0,0,1,1,3,9,0,0,0,0,0,96,0
"ABHD13",53,43,70,52,43,57,86,60,70,54,40,39,118
"ABHD14A",5,3,4,5,3,11,2,4,5,4,4,2,2
"ABHD14B",54,43,68,25,54,97,46,17,76,108,53,44,49
"ABHD15",51,31,48,60,34,42,27,53,30,41,34,49,24
"ABHD16A",17,16,18,12,17,12,24,7,19,12,21,22,22
"ABHD17A",119,142,93,79,81,93,64,87,93,71,114,83,101
"ABHD17B",33,29,40,21,67,25,21,21,45,28,49,24,23
"ABHD17C",129,59,132,53,218,89,163,43,259,121,189,101,151
"ABHD18",102,98,95,60,60,94,84,66,62,81,59,39,62
"ABHD2",376,416,433,832,456,499,982,857,1183,518,556,438,443
"ABHD3",58,79,75,54,112,91,104,48,115,59,149,99,63
"ABHD4",147,53,86,92,87,121,92,79,166,96,65,62,65
"ABHD5",91,124,64,72,195,108,53,74,130,178,203,50,106
"ABHD6",20,70,11,23,41,13,6,11,14,50,35,8,21
"ABHD8",7,16,11,15,10,18,7,14,12,8,13,9,21
"ABI1",201,181,211,271,282,149,155,292,282,247,295,240,120
"ABI2",193,217,253,243,208,361,359,250,274,296,143,350,264
"ABI3",28,60,58,13,14,35,24,13,25,27,31,10,16
"ABI3BP",133,21,353,32,8,25,51,17,90,91,93,15,18
"ABITRAM",37,39,27,62,62,36,44,74,33,61,37,52,38
"ABL1",199,253,169,252,215,171,173,250,164,218,212,210,163
"ABL2",216,174,200,391,215,163,240,406,250,335,202,249,240
"ABLIM1",490,772,855,929,1199,127,119,943,1381,523,1179,1792,252
"ABLIM2",164,111,53,67,32,69,27,80,20,64,36,14,96
"ABLIM3",40,20,29,41,25,137,7,44,107,78,8,9,4
"ABO",41,23,53,413,220,30,12,382,440,331,89,214,5
"ABR",308,282,271,231,131,341,250,208,264,267,376,295,227
"ABRACL",11,12,11,18,15,5,14,15,13,5,17,8,13
"ABRAXAS1",50,28,39,25,26,52,79,18,24,61,26,20,42
"ABRAXAS2",47,44,40,65,54,52,54,73,48,63,47,42,54
"ABT1",39,41,46,34,55,24,31,32,40,47,55,30,37
"ABTB1",41,51,76,98,21,81,55,87,73,82,48,46,54
"ABTB2",26,64,23,23,33,49,21,20,13,15,13,15,33
"ACAA1",30,48,32,19,39,39,19,28,33,41,42,30,29
"ACAA2",39,15,22,19,5,11,11,21,31,10,12,16,18
"ACACA",414,358,200,661,525,266,334,660,509,474,354,704,283
"ACACB",89,99,127,77,71,146,98,61,114,62,32,43,45
"ACAD10",69,54,88,72,56,110,95,69,52,105,75,121,138
"ACAD11",10,11,25,23,9,14,15,21,13,22,9,10,13
"ACAD8",54,52,75,88,43,93,95,79,32,38,41,109,76
"ACAD9",43,101,68,83,92,79,59,90,166,151,151,116,67
"ACADL",1,0,0,1,3,7,0,0,1,0,0,2,0
"ACADM",45,36,24,36,28,30,37,48,28,31,43,16,33
"ACADS",6,5,6,11,9,12,12,16,7,5,8,12,4
"ACADSB",62,36,95,75,44,88,61,74,36,82,81,39,77
"ACADVL",380,278,364,191,197,523,234,178,603,228,312,387,326
"ACAN",2,0,2,12,12,14,2,7,1,2,1,1,4
