"symbol","X2536.KZ.1.FS.count","X2536.KZ.10.FS.count","X2536.KZ.14.FS.count","X2536.KZ.16.FS.count","X2536.KZ.17.FS.count","X2536.KZ.18.FS.count","X2536.KZ.23.FS.count","X2536.KZ.25.FS.count","X2536.KZ.28.FS.count","X2536.KZ.33.FS.count","X2536.KZ.34.FS.count","X2536.KZ.4.FS.count","X2536.KZ.7.FS.count"
"A1BG",13,44,15,21,19,21,9,16,12,27,12,13,41
"A1BG-AS1",183,92,193,219,77,46,73,248,146,62,119,74,264
"A1CF",5,2,1,13,36,83,0,11,7,23,12,5,12
"A2M",1861,3727,1276,1025,886,475,767,1539,1123,1929,1703,797,929
"A2M-AS1",217,121,387,28,34,57,155,42,200,105,248,74,92
"A2ML1",4797,2353,1543,273,4148,547,222,391,1186,2040,8396,1391,453
"A2MP1",0,2,10,5,16,10,0,1,3,2,1,4,0
"A3GALT2",1,3,0,4,7,10,1,0,0,0,4,0,5
"A4GALT",578,656,505,318,464,371,359,448,728,659,477,1716,402
"A4GNT",3,0,0,2,8,23,1,0,2,6,5,0,1
"AAAS",661,652,802,405,459,363,711,567,699,666,629,1078,904
"AACS",1075,1000,800,897,1524,1933,1503,1418,3023,1166,1624,853,884
"AACSP1",9,5,357,40,167,363,492,38,1,57,78,788,1093
"AADAC",0,0,19,107,18,7,19,157,7,5,5,8,5
"AADACL2",3,1,57,15,40,50,6,4,16,9,24,5,7
"AADACL3",4,0,2,10,10,36,0,0,4,6,3,15,0
"AADACL4",3,2,0,8,5,14,0,2,0,2,2,1,1
"AADACP1",7,3,18,227,107,25,94,394,32,10,18,14,21
"AADAT",48,167,26,53,97,8,114,72,80,79,72,78,46
"AAGAB",863,862,426,330,699,128,663,603,976,914,651,707,563
"AAK1",7439,9512,8530,4906,2130,2310,6253,8236,6350,4907,6301,4849,5584
"AAMDC",8,10,16,56,12,6,5,73,26,25,17,13,15
"AAMP",390,476,295,332,274,189,179,453,334,317,644,387,256
"AANAT",0,0,4,5,2,9,0,0,6,7,1,1,2
"AAR2",449,394,324,268,259,135,197,479,360,306,410,441,385
"AARD",1,5,5,17,13,20,1,9,6,8,2,4,4
"AARS1",1429,1949,1206,1298,2039,435,1237,2005,3617,1800,2287,2905,1348
"AARS1P1",0,0,0,0,2,4,0,0,0,0,0,0,0
"AARS2",555,382,399,227,240,166,289,324,393,522,432,726,699
"AARSD1",128,90,69,89,115,51,110,130,79,159,122,207,120
"AASDH",505,510,437,334,259,185,513,463,287,423,416,363,329
"AASDHPPT",638,366,728,984,253,155,609,1828,381,490,509,697,362
"AASS",505,490,365,306,1211,167,622,447,390,766,969,2023,1077
"AATBC",611,197,239,330,375,651,378,435,379,465,460,475,569
"AATF",311,415,329,450,351,171,349,659,544,399,524,807,371
"AATK",118,144,54,121,61,107,7,111,88,94,92,119,87
"ABALON",16,5,30,10,10,16,8,0,15,8,11,9,14
"ABAT",259,810,366,159,432,149,293,176,395,460,252,156,458
"ABCA1",2945,5014,1716,2714,3374,455,1928,4473,2107,1939,3582,4923,1622
"ABCA10",218,39,204,104,41,48,90,89,218,101,189,76,108
"ABCA11P",98,98,68,37,34,21,81,37,40,52,46,37,133
"ABCA12",980,353,647,335,584,55,121,526,188,746,1542,208,93
"ABCA13",4517,128,15214,38,16746,3266,530,15,12059,17748,9483,10616,866
"ABCA17P",75,227,205,108,125,733,1645,143,441,169,44,11,1782
"ABCA2",4655,5277,1610,1441,718,1236,935,1911,1249,2179,703,1097,961
"ABCA3",745,591,1052,198,73,3159,3379,307,599,922,145,964,4312
"ABCA4",30,4,47,11,19,21,3,11,23,19,27,30,15
"ABCA5",2317,1197,2563,1644,1777,973,2646,2883,4691,3188,2428,3208,2058
"ABCA6",944,441,568,357,183,120,405,443,407,489,181,173,151
"ABCA7",2460,956,1633,535,323,656,681,784,791,639,1117,521,823
"ABCA8",351,20,243,67,71,60,101,108,141,267,26,49,9
"ABCA9",518,176,328,134,52,38,204,169,294,411,106,73,32
"ABCA9-AS1",1,1,0,44,6,11,0,32,1,3,2,8,2
"ABCB1",56,166,145,16,37,34,52,22,59,73,101,21,36
"ABCB10",497,285,234,385,260,165,483,525,261,294,612,253,257
"ABCB10P3",0,0,0,0,0,2,0,0,0,0,0,0,0
"ABCB10P4",0,0,0,7,3,3,0,0,0,8,2,0,0
"ABCB11",18,6,25,10,42,48,1,20,6,12,7,7,5
"ABCB4",21,17,126,51,33,50,30,29,78,48,92,27,26
"ABCB5",25,4,1,14,33,49,2,8,1,9,9,2,5
"ABCB6",205,132,80,219,180,145,266,279,201,72,155,299,223
"ABCB7",309,440,519,275,302,167,351,507,397,347,387,333,693
"ABCB8",1579,727,653,929,515,580,758,1448,702,1189,972,1223,1123
"ABCB9",278,300,221,195,257,397,321,254,231,222,215,978,549
"ABCC1",3188,2209,2831,753,3505,2641,3411,1000,10302,1018,1553,8496,8914
"ABCC10",1069,936,1100,597,562,568,836,908,786,870,708,1424,870
"ABCC11",28,19,1,52,48,40,13,63,12,38,30,45,12
"ABCC12",7,1,0,16,13,30,0,5,8,5,5,19,4
"ABCC13",9,4,2,30,47,92,2,8,5,18,6,15,24
"ABCC2",57,27,91,46,28,51,44,54,122,19,53,32,81
"ABCC3",525,805,801,826,197,257,2475,1405,3827,441,270,372,137
"ABCC4",573,482,1088,456,266,805,1634,706,662,290,226,1025,2907
"ABCC5",5298,5856,4705,2069,14425,1888,2542,3276,20307,11695,5282,9559,2158
"ABCC5-AS1",0,0,3,0,1,0,0,0,0,0,0,0,4
"ABCC6",37,16,39,14,34,39,0,6,9,18,6,10,11
"ABCC6P1",11,3,0,3,8,33,0,2,5,2,1,1,1
"ABCC6P2",0,0,0,0,3,3,0,0,0,0,0,0,3
"ABCC8",5,8,5,24,51,76,3,3,7,4,5,8,2
"ABCC9",511,139,206,384,111,86,331,655,160,248,126,168,155
"ABCD1",629,1098,212,146,138,107,144,209,313,420,188,249,247
"ABCD1P2",0,0,0,1,0,5,0,0,2,2,1,0,1
"ABCD2",118,163,201,14,30,59,86,19,96,130,92,17,70
"ABCD3",1047,1214,1237,355,937,406,754,578,942,344,1339,1048,1115
"ABCD4",810,985,848,484,529,387,1028,608,695,969,877,916,726
"ABCE1",1820,3399,1213,1958,1994,503,1814,3339,1959,2146,3699,2108,3095
"ABCF1",696,776,504,720,653,152,447,1071,947,722,1221,1395,884
"ABCF2",236,279,158,291,249,110,245,485,280,277,318,418,298
"ABCF2P1",1,3,2,12,5,23,0,0,3,0,2,0,2
"ABCF2P2",0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCF3",615,1104,572,554,1267,280,570,817,1190,832,870,771,549
"ABCG1",369,696,375,272,274,221,457,439,247,289,265,496,498
"ABCG2",43,34,74,42,50,28,45,37,80,22,28,14,34
"ABCG4",7,8,22,35,18,26,8,17,10,4,2,28,6
"ABCG5",6,0,3,10,14,16,0,0,6,1,2,10,0
"ABCG8",14,1,7,28,39,80,0,11,9,32,10,19,1
"ABHD1",20,10,24,12,29,48,23,4,17,25,16,7,7
"ABHD10",292,262,397,250,206,170,334,424,514,575,376,398,340
"ABHD11",583,393,321,102,305,199,221,148,354,291,595,414,191
"ABHD12",592,1155,851,443,439,249,701,644,390,510,776,500,466
"ABHD12B",6,1,6,5,21,32,1,1,0,6,4,889,2
"ABHD13",504,425,555,308,287,194,689,568,642,455,390,365,1083
"ABHD14A",49,33,32,34,24,37,19,37,50,37,46,21,19
"ABHD14A-ACY1",0,5,0,10,11,5,1,1,3,9,1,0,1
"ABHD14B",509,426,541,148,359,332,371,165,700,903,526,407,449
"ABHD15",481,303,379,357,224,144,217,494,276,348,336,455,222
"ABHD16A",164,163,143,70,115,40,196,67,172,101,210,204,206
"ABHD16B",2,2,2,2,3,8,0,1,0,0,0,5,0
"ABHD17A",1130,1395,743,472,535,316,514,819,855,595,1118,769,935
"ABHD17B",310,283,317,126,442,87,168,203,418,235,483,220,214
"ABHD17C",1226,583,1053,318,1437,304,1305,401,2375,1012,1851,935,1391
"ABHD18",962,965,757,358,396,320,678,616,567,679,577,366,574
"ABHD2",3554,4088,3438,4948,3003,1699,7875,8025,10824,4325,5452,4038,4081
"ABHD3",547,779,596,320,740,309,836,452,1054,492,1462,915,581
"ABHD4",1392,523,683,547,573,411,736,745,1522,806,639,577,600
"ABHD5",863,1226,509,429,1283,368,425,696,1196,1488,1986,459,973
"ABHD6",194,692,90,136,274,44,53,108,126,418,349,80,193
"ABHD8",65,160,88,92,67,63,56,137,112,73,125,88,194
"ABI1",1903,1778,1675,1611,1859,506,1245,2735,2584,2061,2896,2212,1106
"ABI2",1830,2132,2006,1448,1373,1230,2881,2342,2508,2469,1399,3222,2432
"ABI3",266,588,461,77,92,121,194,127,229,230,304,92,149
"ABI3BP",1258,204,2805,193,55,87,413,162,828,759,913,141,167
"ABITRAM",353,386,214,369,410,123,352,694,308,513,368,483,355
"ABL1",1884,2487,1347,1501,1420,581,1387,2343,1502,1819,2080,1938,1499
"ABL2",2042,1709,1593,2324,1420,555,1924,3806,2287,2796,1983,2297,2214
"ABLIM1",4633,7589,6785,5523,7897,434,959,8830,12632,4361,11549,16512,2319
"ABLIM2",1549,1097,425,401,210,235,218,748,188,539,353,135,885
"ABLIM3",376,195,232,248,168,467,61,412,981,656,80,87,38
"ABO",392,226,426,2455,1452,102,95,3575,4023,2762,876,1975,48
"ABR",2911,2771,2154,1372,863,1160,2009,1948,2414,2232,3683,2718,2088
"ABRA",45,0,0,11,13,19,5,2,0,4,4,3,2
"ABRACL",103,123,89,106,99,18,115,143,122,43,165,76,120
"ABRAXAS1",475,276,311,148,176,179,635,168,225,509,261,186,385
"ABRAXAS2",444,434,318,386,356,177,433,683,442,528,463,389,498
"ABT1",373,401,366,203,361,82,248,306,368,391,540,283,339
"ABTB1",391,506,609,586,142,277,442,821,673,684,474,427,499
"ABTB2",247,636,184,140,219,167,167,194,121,129,126,145,304
"ACAA1",285,472,259,112,260,132,151,263,304,348,418,277,265
"ACAA2",374,153,176,117,33,39,94,196,282,88,119,151,168
"ACACA",3911,3525,1591,3929,3458,907,2677,6180,4657,3957,3473,6486,2601
"ACACB",847,975,1013,461,468,498,787,572,1043,520,315,399,414
"ACAD10",650,535,701,431,369,375,760,649,480,875,737,1113,1273
"ACAD11",98,113,197,138,63,47,123,200,121,182,93,99,119
"ACAD8",509,511,599,522,287,318,761,739,296,318,405,1011,705
"ACAD9",407,997,540,493,609,269,478,846,1523,1258,1477,1072,615
"ACADL",15,1,0,10,21,26,0,0,10,3,4,23,2
"ACADM",429,357,189,218,184,104,301,453,261,262,427,148,306
"ACADS",58,51,52,67,61,40,99,148,64,46,77,116,41
"ACADSB",591,359,758,449,294,300,491,699,336,682,800,362,709
"ACADVL",3593,2739,2894,1138,1302,1778,1877,1669,5518,1902,3056,3571,3002
"ACAN",21,6,19,73,78,50,16,67,12,16,12,16,38
"ACAP1",461,693,1364,79,141,174,399,122,646,449,678,128,320
"ACAP2",2266,4424,4050,2365,9251,1574,4224,4344,5890,4886,4291,2037,3350
"ACAP3",2640,1776,830,747,735,590,772,1277,1607,1407,1644,1454,1541
"ACAT1",148,89,127,256,58,59,114,425,91,64,91,120,88
"ACAT2",198,268,175,124,383,58,153,205,562,117,375,228,417
"ACBD3",1188,840,739,1049,846,266,1241,1896,888,944,1472,799,909
"ACBD3-AS1",3,0,1,0,10,5,0,0,0,7,0,0,1
"ACBD4",158,119,294,118,43,78,179,165,136,267,74,80,91
"ACBD5",873,495,357,437,458,261,443,599,403,483,782,389,414
"ACBD6",911,872,904,613,612,395,835,999,868,1711,1165,801,1224
"ACBD7",46,285,58,44,47,216,258,59,92,246,25,59,147
"ACCS",445,517,624,163,208,263,582,246,364,338,295,447,582
"ACCSL",0,0,0,2,4,2,0,0,0,0,0,0,0
"ACD",158,325,201,174,229,92,310,283,326,194,314,308,193
"ACE",326,276,129,108,142,92,53,103,87,178,195,155,68
"ACE2",74,8,54,18,24,29,2,11,34,26,35,14,16
"ACE3P",0,0,0,0,0,0,0,0,0,0,0,0,0
"ACER1",4,8,12,3,5,9,3,0,1,0,0,4,0
"ACER2",192,307,212,185,119,129,176,267,213,274,255,259,104
"ACER3",963,871,1342,3244,551,320,2284,5599,1153,969,517,634,1256
"ACHE",83,12,150,20,33,39,221,14,103,72,63,68,15
"ACIN1",5623,5600,4639,2932,3497,1553,3781,4425,6524,5167,6446,6014,3908
"ACKR1",68,45,171,24,34,33,84,13,99,70,24,17,7
"ACKR2",133,34,164,39,66,40,21,23,66,72,40,218,12
"ACKR3",608,83,299,719,2158,88,724,1037,746,177,160,195,232
"ACKR4",78,14,7,34,25,20,6,50,12,15,3,6,33
"ACLY",1605,1618,802,1512,1538,358,886,2216,2090,2050,1781,2983,1162
"ACMSD",4,2,0,6,0,12,1,1,1,3,1,2,1
"ACNATP",0,0,0,5,7,17,0,0,0,0,0,2,3
"ACO1",517,641,381,310,367,217,499,454,358,736,538,412,477
"ACO2",1078,1586,1130,1171,1388,796,1022,1495,1709,1162,1908,1647,1522
"ACOD1",8,2,2,10,8,16,0,1,3,4,3,1,2
"ACOT1",11,10,3,12,23,11,0,3,31,4,1,10,3
"ACOT11",650,398,771,392,518,564,1460,578,1994,1344,770,893,5865
"ACOT12",0,3,0,4,5,8,8,6,2,5,5,0,10
"ACOT13",121,123,115,101,132,78,178,132,345,198,107,162,307
"ACOT2",48,35,13,44,27,29,49,29,28,15,35,42,22
"ACOT4",30,18,8,33,27,41,21,32,21,10,29,19,6
"ACOT6",0,0,1,7,7,13,0,2,0,4,0,5,0
"ACOT7",276,634,171,178,186,167,151,376,194,221,442,214,150
"ACOT8",285,409,272,205,211,143,363,341,315,329,237,275,449
"ACOT9",435,460,422,428,465,114,379,742,463,354,345,298,309
"ACOX1",1718,1152,1341,1491,1437,887,1160,2509,1015,1883,951,1595,2160
"ACOX2",32,11,12,22,14,19,34,32,11,14,15,15,4
"ACOX3",849,1009,885,125,234,287,333,258,334,506,765,344,488
"ACOXL",37,27,50,27,61,65,123,8,69,53,106,49,28
"ACOXL-AS1",21,12,18,34,28,62,49,19,23,30,29,35,26
"ACP1",1107,1468,868,718,838,385,1075,1211,1011,1094,1226,1087,1109
"ACP2",421,477,295,138,347,235,269,228,343,310,649,411,389
"ACP3",139,77,281,161,199,63,71,239,684,142,487,130,108
"ACP4",0,0,0,1,0,0,0,0,1,0,1,0,0
"ACP5",371,941,315,227,120,80,208,370,416,235,358,230,119
"ACP6",1152,3013,1088,247,548,495,1580,303,1054,1200,1213,516,1936
"ACP7",22,68,61,24,27,18,0,27,180,0,5,151,0
"ACR",2,6,2,8,4,11,0,6,12,6,1,0,26
"ACRBP",49,65,25,40,19,18,30,57,46,67,22,191,31
"ACRV1",0,1,1,17,6,4,0,25,1,7,0,0,5
"ACSBG1",14,8,5,15,38,23,0,7,7,16,5,35,6
"ACSBG2",2,0,2,3,6,8,0,0,0,3,2,4,1
"ACSF2",192,264,201,166,134,147,221,200,156,160,147,91,227
"ACSF3",1321,1865,1881,1052,926,407,2146,1670,2157,2264,1512,1589,1148
"ACSL1",2579,2294,587,400,1133,497,424,629,1145,1107,1857,1142,587
"ACSL3",1188,1098,527,1251,1161,356,848,2037,634,1527,1075,1220,613
"ACSL4",915,780,1091,789,513,255,987,1441,929,654,786,662,664
"ACSL5",212,672,612,183,189,184,346,252,252,383,283,103,604
"ACSL6",223,16,105,52,85,134,20,46,69,487,70,11,127
